City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
22,Nikolskoye,RU,31.87,snow,59.7035,30.7861,Tourist House - Sablino
23,Verkhniy Baskunchak,RU,30.15,overcast clouds,48.2256,46.7217,Kombat
47,Narsaq,GL,28.62,light snow,60.9167,-46.05,Sleep In Narsaq
62,Qaqortoq,GL,28.9,light snow,60.7167,-46.0333,Siniffik Inn
76,Pangnirtung,CA,23.67,snow,66.1451,-65.7125,Kilabuk Lodge
92,Clyde River,CA,17.83,snow,70.4692,-68.5914,Qamaq Hotel
95,Broome,US,27.66,clear sky,42.2506,-75.833,Chenango Valley State Park
122,Jamestown,US,31.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
133,Gravdal,NO,31.8,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
137,Zaysan,KZ,30.51,overcast clouds,47.4667,84.8667,Ерлан үй
139,Watertown,US,29.86,clear sky,42.3709,-71.1828,Apt downtown Waltham
144,Tasiilaq,GL,24.96,overcast clouds,65.6145,-37.6368,The Red House
149,Shimanovsk,RU,22.35,scattered clouds,52.0,127.7,Гостиница Домашняя
158,Ilulissat,GL,26.62,snow,69.2167,-51.1,Hotel Arctic
163,Andenes,NO,30.07,freezing rain,69.3143,16.1194,Hotell Marena
166,Loukhi,RU,20.25,overcast clouds,66.0764,33.0381,Хостел Северяночка
175,Matagami,CA,15.91,light snow,49.7502,-77.6328,Hôtel Matagami
192,Xinmin,CN,28.65,few clouds,41.9908,122.8253,Agricultural Machinery Hotel
206,Leh,IN,21.02,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
207,Havre-Saint-Pierre,CA,28.76,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
231,Roma,US,27.03,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
240,Nenjiang,CN,19.8,overcast clouds,49.1833,125.2167,Nenjiang Apartment
275,Zhirnovsk,RU,18.52,scattered clouds,50.9845,44.7735,Gostinitsa Zhirnovsk
285,Turukhansk,RU,17.31,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
288,Kolpashevo,RU,20.7,overcast clouds,58.3131,82.9089,Gostinitsa Legenda
295,Zakamensk,RU,23.36,broken clouds,50.3741,103.2863,Gostinitsa Zakamna
319,Qasigiannguit,GL,26.85,overcast clouds,68.8193,-51.1922,Hotel Diskobay
324,Suwalki,PL,31.39,broken clouds,54.1118,22.9309,Hotel Szyszko
337,Berlevag,NO,17.6,light snow,70.8578,29.0864,Kvitbrakka
340,Hami,CN,30.72,scattered clouds,42.8,93.45,Laoyutang Resort
341,Chuguyevka,RU,19.67,overcast clouds,44.1653,133.8633,Svet V Okne
347,Lerik,AZ,26.24,clear sky,38.7726,48.4128,9 QARDAŞ
351,Wyndham,US,31.62,clear sky,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
370,Khuzhir,RU,26.67,overcast clouds,53.1939,107.3397,Отель на озере Байкал Baikal View
377,Medvezhyegorsk,RU,30.13,snow,62.9167,34.4667,Solnechnyy
393,Suhbaatar,MN,15.39,few clouds,50.2314,106.2078,Hotel Nine
422,Erzurum,TR,26.28,broken clouds,40.0,41.5,Saksi Koyu Muhtarligi
437,Vikhorevka,RU,24.39,overcast clouds,56.1201,101.1636,Pansionat Sosnovyye Rodniki
459,Tieling,CN,27.16,clear sky,42.2931,123.8414,Tieling 99 Yuejia Business Guest House
460,Nivala,FI,30.18,overcast clouds,63.9167,24.9667,Hotelli Huiskankorpi / Aseman majatalo
467,Vardo,NO,19.6,light snow,70.3705,31.1107,Vardø Hotel AS
475,Iqaluit,CA,29.93,broken clouds,63.7506,-68.5145,Frobisher Inn
476,Moose Factory,CA,23.0,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
480,Bassano,CA,26.96,overcast clouds,50.7834,-112.4685,Imperial Hunter Hotel
482,Saint-Francois,FR,30.67,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
512,Mehamn,NO,17.55,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
513,At-Bashi,KG,25.95,scattered clouds,41.1702,75.8106,Hostel At-Bashy
516,Novobirilyussy,RU,25.41,overcast clouds,56.9514,90.6661,Gostinitsa
543,Listvyagi,RU,24.78,broken clouds,53.6772,86.951,Hotel Yeti House
546,Tevriz,RU,16.5,overcast clouds,57.509,72.4042,Postoyalyy Dvor
550,Goderich,CA,30.52,few clouds,43.7501,-81.7165,Harmony Inn
551,Gloversville,US,27.95,clear sky,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
552,Kapuskasing,CA,24.8,broken clouds,49.4169,-82.4331,Park Inn Motel
584,Mandalgovi,MN,30.51,broken clouds,45.7625,106.2708,В.Ганбат
599,Kosterevo,RU,16.74,scattered clouds,55.9299,39.6144,Gostinitsa Zolotoye Kol'tso
605,Krasnyy Kut,RU,18.91,broken clouds,50.95,46.9667,Yubileynaya
619,Tsagan Aman,RU,31.93,light snow,47.5639,46.7218,Tirupathi
624,Irbeyskoye,RU,31.51,overcast clouds,55.6428,95.4522,"Gostinitsa ""Agul"""
629,Kostomuksha,RU,25.41,light snow,64.571,30.5767,U Mikhailicha
646,Chegdomyn,RU,30.43,scattered clouds,51.1167,133.0167,Gostinitsa Bureya
