City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Maloy,NO,61.9353,5.1136,48.06,94,100,11.01,overcast clouds
1,Ulaanbaatar,MN,47.9077,106.8832,12.33,67,6,2.24,clear sky
2,Saint Anthony,US,45.0205,-93.218,48.31,54,1,5.01,clear sky
3,Panaba,MX,21.2833,-88.2667,69.21,69,14,6.53,few clouds
4,Rikitea,PF,-23.1203,-134.9692,76.71,83,100,12.64,overcast clouds
5,Faanui,PF,-16.4833,-151.75,81.32,69,44,2.89,scattered clouds
6,Sao Filipe,CV,14.8961,-24.4956,78.4,74,100,2.55,overcast clouds
7,Kita,ML,13.0349,-9.4895,72.86,30,73,4.05,broken clouds
8,Vaini,TO,-21.2,-175.2,84.36,84,40,3.44,scattered clouds
9,Sokoni,TZ,-6.4333,39.55,80.04,80,50,4.56,scattered clouds
10,Camapua,BR,-19.5314,-54.0439,72.88,87,95,0.85,very heavy rain
11,Tiksi,RU,71.6872,128.8694,-20.78,98,42,7.25,scattered clouds
12,Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,6.91,clear sky
13,Leningradskiy,RU,69.3833,178.4167,-16.98,80,70,2.66,broken clouds
14,Kismayo,SO,-0.3582,42.5454,80.38,79,40,11.97,scattered clouds
15,Kataysk,RU,56.289,62.5841,12.9,85,55,12.19,broken clouds
16,Albany,US,42.6001,-73.9662,28.74,63,1,3.0,clear sky
17,Ushuaia,AR,-54.8,-68.3,42.46,81,75,14.97,broken clouds
18,Mar Del Plata,AR,-38.0023,-57.5575,64.09,70,0,14.0,clear sky
19,Kitui,KE,-1.367,38.0106,65.7,83,47,1.45,scattered clouds
20,Busselton,AU,-33.65,115.3333,78.04,41,2,10.31,clear sky
21,San Vicente,AR,-26.6167,-54.1333,66.72,69,90,3.44,overcast clouds
22,Nikolskoye,RU,59.7035,30.7861,31.87,95,100,14.16,snow
23,Verkhniy Baskunchak,RU,48.2256,46.7217,30.15,81,100,12.19,overcast clouds
24,Hermanus,ZA,-34.4187,19.2345,62.91,81,100,7.56,overcast clouds
25,Flinders,AU,-34.5833,150.8552,76.28,83,100,8.46,light rain
26,Petlawad,IN,23.0,74.8,77.83,43,2,4.45,clear sky
27,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,75,6.91,light snow
28,Carnarvon,AU,-24.8667,113.6333,96.87,16,0,12.66,clear sky
29,Souillac,MU,-20.5167,57.5167,79.36,83,20,3.44,few clouds
30,Ribeira Grande,PT,38.5167,-28.7,67.3,84,67,19.89,broken clouds
31,Delta Del Tigre,UY,-34.7633,-56.3853,59.11,58,0,10.2,clear sky
32,Mastung,PK,29.7994,66.845,56.12,32,1,2.35,clear sky
33,Ponta Do Sol,PT,32.6667,-17.1,69.01,80,100,8.39,overcast clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,68.88,81,15,6.35,few clouds
35,Arraial Do Cabo,BR,-22.9661,-42.0278,71.44,90,50,7.02,scattered clouds
36,Daru,PG,-9.0763,143.2092,87.42,64,12,8.88,few clouds
37,Dalbandin,PK,28.8947,64.4101,64.09,22,0,2.8,clear sky
38,Kizukuri,JP,40.8061,140.3861,41.11,57,100,20.8,overcast clouds
39,Atuona,PF,-9.8,-139.0333,77.74,77,56,13.11,broken clouds
40,Thompson,CA,55.7435,-97.8558,-7.44,71,20,9.22,few clouds
41,Hilo,US,19.7297,-155.09,78.53,76,90,3.44,overcast clouds
42,Katsuura,JP,35.1333,140.3,60.91,58,3,20.56,clear sky
43,Cherskiy,RU,68.75,161.3,-28.8,98,52,3.56,broken clouds
44,Tytuvenai,LT,55.6,23.2,33.71,96,79,10.87,light snow
45,Kaitangata,NZ,-46.2817,169.8464,62.6,53,100,4.25,overcast clouds
46,Yelizovo,RU,53.1873,158.3805,39.34,81,75,11.18,light intensity shower rain
47,Narsaq,GL,60.9167,-46.05,28.62,87,100,11.43,light snow
48,Mujiayingzi,CN,42.1167,118.7833,32.14,40,21,12.03,few clouds
49,Port Hedland,AU,-20.3167,118.5667,96.85,17,97,14.97,overcast clouds
50,Esperance,AU,-33.8667,121.9,67.84,56,1,10.36,clear sky
51,Cidreira,BR,-30.1811,-50.2056,64.02,69,0,7.02,clear sky
52,Port Elizabeth,ZA,-33.918,25.5701,56.1,94,75,6.91,light rain
53,Yatou,CN,37.15,122.3833,49.73,29,0,12.24,clear sky
54,La Paz,BO,-16.5,-68.15,49.98,61,40,11.5,scattered clouds
55,Atambua,ID,-9.1061,124.8925,85.03,62,31,3.53,scattered clouds
56,Kloulklubed,PW,7.0419,134.2556,86.5,76,76,17.02,broken clouds
57,Toktogul,KG,41.8708,72.9402,40.21,52,60,2.55,broken clouds
58,Bengkulu,ID,-3.8004,102.2655,78.96,74,100,1.03,overcast clouds
59,Pizarro,CO,4.9533,-77.366,74.48,93,100,5.82,light rain
60,Samarai,PG,-10.6167,150.6667,85.03,71,8,12.41,clear sky
61,Hithadhoo,MV,-0.6,73.0833,82.08,76,93,16.89,overcast clouds
62,Qaqortoq,GL,60.7167,-46.0333,28.9,76,100,12.55,light snow
63,Saskylakh,RU,71.9167,114.0833,-17.63,90,44,12.24,scattered clouds
64,Kruisfontein,ZA,-34.0033,24.7314,53.89,77,75,4.09,light rain
65,Mandurah,AU,-32.55,115.7,83.14,50,0,13.82,clear sky
66,Klaksvik,FO,62.2266,-6.589,41.92,63,38,30.04,scattered clouds
67,Bredasdorp,ZA,-34.5322,20.0403,57.27,84,99,6.93,overcast clouds
68,Mahebourg,MU,-20.4081,57.7,79.25,83,20,3.44,few clouds
69,Tanda,IN,26.55,82.65,70.09,30,0,1.9,clear sky
70,Lata,PT,40.1629,-8.3327,45.81,91,72,3.29,broken clouds
71,Nanortalik,GL,60.1432,-45.2371,36.09,91,100,13.58,light rain
72,Mataura,NZ,-46.1927,168.8643,62.74,47,100,6.69,overcast clouds
73,Sur,OM,22.5667,59.5289,80.92,26,8,2.01,clear sky
74,Rocha,UY,-34.4833,-54.3333,47.16,85,0,6.71,clear sky
75,Aklavik,CA,68.2191,-135.0107,-13.97,99,100,2.66,overcast clouds
76,Pangnirtung,CA,66.1451,-65.7125,23.67,95,100,6.62,snow
77,Qaanaaq,GL,77.484,-69.3632,-6.25,68,31,7.72,scattered clouds
78,Hasaki,JP,35.7333,140.8333,59.4,32,1,11.36,clear sky
79,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,83,0,5.01,clear sky
80,Touros,BR,-5.1989,-35.4608,77.9,79,96,10.92,overcast clouds
