City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2021-11-20 21:47:46,71.2906,-156.7887,1.42,71,40,3.44
1,Mahebourg,MU,2021-11-20 21:47:46,-20.4081,57.7,76.24,73,40,8.05
2,Dikson,RU,2021-11-20 21:47:47,73.5069,80.5464,-8.91,84,78,14.92
3,Punta Arenas,CL,2021-11-20 21:47:47,-53.15,-70.9167,46.51,46,40,34.52
4,Cape Town,ZA,2021-11-20 21:47:47,-33.9258,18.4232,67.12,62,0,12.66
5,Sinnamary,GF,2021-11-20 21:40:21,5.3833,-52.95,79.68,83,35,10.09
6,High Prairie,CA,2021-11-20 21:47:48,55.4334,-116.4858,6.1,88,100,4.59
7,Busselton,AU,2021-11-20 21:47:48,-33.65,115.3333,57.04,61,70,10.85
8,Mmathubudukwane,BW,2021-11-20 21:47:48,-24.6,26.4333,68.86,77,94,14.25
9,Mataura,NZ,2021-11-20 21:47:49,-46.1927,168.8643,60.89,61,100,4.27
10,Bredasdorp,ZA,2021-11-20 21:47:49,-34.5322,20.0403,61.29,78,100,17.0
11,Port Elizabeth,ZA,2021-11-20 21:47:49,-33.918,25.5701,64.69,72,75,13.8
12,Puerto Ayora,EC,2021-11-20 21:47:50,-0.7393,-90.3518,76.96,77,74,10.74
13,Khani,GE,2021-11-20 21:47:50,41.9563,42.9566,38.77,98,100,3.15
14,Biak,ID,2021-11-20 21:43:04,-0.9131,122.8766,76.68,84,76,1.48
15,Iqaluit,CA,2021-11-20 21:41:32,63.7506,-68.5145,10.13,78,75,18.99
16,Cruz Grande,MX,2021-11-20 21:47:50,16.7333,-99.1333,84.58,59,0,7.2
17,Nanning,CN,2021-11-20 21:47:51,22.8167,108.3167,72.05,95,99,3.91
18,Leningradskiy,RU,2021-11-20 21:39:04,69.3833,178.4167,-11.38,86,3,3.44
19,Esil,KZ,2021-11-20 21:47:51,51.9556,66.4042,16.29,86,100,11.34
20,Aquiraz,BR,2021-11-20 21:46:23,-3.9014,-38.3911,85.21,64,99,13.0
21,Ushuaia,AR,2021-11-20 21:47:52,-54.8,-68.3,37.06,81,90,23.02
22,Cabo San Lucas,MX,2021-11-20 21:47:52,22.8909,-109.9124,84.61,58,20,8.99
